,wave.height.time,wave.height,wave.depth
184,2017/1/9 3:00,1.317063689,8.128117561
185,2017/1/9 4:00,1.29164505,8.309432983
186,2017/1/9 5:00,1.384716392,8.568826675
187,2017/1/9 6:00,1.424830079,8.881204605
188,2017/1/9 7:00,1.358718395,9.175942421
189,2017/1/9 8:00,1.372395515,9.372455597
190,2017/1/9 9:00,1.376355171,9.34503746
191,2017/1/9 10:00,1.358246803,9.236636162
192,2017/1/9 11:00,1.202043176,9.033596992
193,2017/1/9 12:00,1.172620535,8.727954865
194,2017/1/9 13:00,1.093409538,8.412706375
195,2017/1/9 14:00,1.039973259,8.146730423
196,2017/1/9 15:00,1.040559888,8.049211502
197,2017/1/9 16:00,0.965488493,8.060043335
198,2017/1/9 17:00,0.960858941,8.185394287
199,2017/1/9 18:00,0.930267215,8.387666702
200,2017/1/9 19:00,0.894289136,8.659460068
201,2017/1/9 20:00,0.868051469,8.9077034
202,2017/1/9 21:00,0.824503899,8.992035866
203,2017/1/9 22:00,0.786017299,8.884567261
204,2017/1/9 23:00,0.753900826,8.728503227
205,2017/1/10 0:00,0.724714696,8.475277901
206,2017/1/10 1:00,0.726902723,8.170207977
207,2017/1/10 2:00,0.696754932,7.910978794
208,2017/1/10 3:00,0.652336776,7.842979431
209,2017/1/10 4:00,0.616793752,7.905023098
210,2017/1/10 5:00,0.64384222,8.074021339
211,2017/1/10 6:00,0.632448792,8.379362106
212,2017/1/10 7:00,0.682619929,8.734577179
213,2017/1/10 8:00,0.649588943,9.061128616
214,2017/1/10 9:00,0.62504822,9.19912529
215,2017/1/10 10:00,0.595669448,9.205903053
216,2017/1/10 11:00,0.608185709,9.095854759
217,2017/1/10 12:00,0.620338678,8.842309952
218,2017/1/10 13:00,0.593927145,8.516464233
219,2017/1/10 14:00,0.57765907,8.222490311
220,2017/1/10 15:00,0.563768208,7.990447044
221,2017/1/10 16:00,0.554414749,7.888789654
222,2017/1/10 17:00,0.51543808,7.933589935
223,2017/1/10 18:00,0.522542298,8.102174759
224,2017/1/10 19:00,0.521642327,8.395290375
225,2017/1/10 20:00,0.526052892,8.703289032
226,2017/1/10 21:00,0.51437676,8.950439453
227,2017/1/10 22:00,0.481360465,9.013916016
228,2017/1/10 23:00,0.474096388,8.965360641
229,2017/1/11 0:00,0.45953992,8.773504257
230,2017/1/11 1:00,0.437696487,8.50513649
231,2017/1/11 2:00,0.417846411,8.151987076
232,2017/1/11 3:00,0.398848832,7.892803669
233,2017/1/11 4:00,0.407413304,7.819146156
234,2017/1/11 5:00,0.4516581,7.884224892
235,2017/1/11 6:00,0.510472834,8.093600273
236,2017/1/11 7:00,0.534639716,8.415974617
237,2017/1/11 8:00,0.588708997,8.763570786
238,2017/1/11 9:00,0.607738853,9.139814377
239,2017/1/11 10:00,0.61365515,9.274482727
240,2017/1/11 11:00,0.594430327,9.223373413
241,2017/1/11 12:00,0.603189111,9.048902512
242,2017/1/11 13:00,0.624700844,8.838002205
243,2017/1/11 14:00,0.592843354,8.489517212
244,2017/1/11 15:00,0.572692037,8.141459465
245,2017/1/11 16:00,0.551995575,7.815167904
246,2017/1/11 17:00,0.551548898,7.721291542
247,2017/1/11 18:00,0.536161542,7.775866508
248,2017/1/11 19:00,0.515037537,8.000562668
249,2017/1/11 20:00,0.510693133,8.320457458
250,2017/1/11 21:00,0.510642588,8.639521599
251,2017/1/11 22:00,0.485516429,8.882183075
252,2017/1/11 23:00,0.463339597,8.919304848
253,2017/1/12 0:00,0.435071677,8.841669083
254,2017/1/12 1:00,0.426593214,8.650625229
255,2017/1/12 2:00,0.420934021,8.37042141
256,2017/1/12 3:00,0.408021033,8.076896667
257,2017/1/12 4:00,0.385952681,7.796053886
258,2017/1/12 5:00,0.39566645,7.722795486
259,2017/1/12 6:00,0.408825159,7.817274094
260,2017/1/12 7:00,0.411000788,8.051371574
261,2017/1/12 8:00,0.419803202,8.425980568
262,2017/1/12 9:00,0.426559508,8.796904564
263,2017/1/12 10:00,0.453800499,9.110279083
264,2017/1/12 11:00,0.502072632,9.236164093
265,2017/1/12 12:00,0.542328954,9.213012695
266,2017/1/12 13:00,0.597516954,9.057422638
267,2017/1/12 14:00,0.568128586,8.775269508
268,2017/1/12 15:00,0.545844197,8.414722443
269,2017/1/12 16:00,0.533347666,8.043877602
270,2017/1/12 17:00,0.532259405,7.752289295
271,2017/1/12 18:00,0.587861657,7.66215992
272,2017/1/12 19:00,0.668998063,7.784649849
273,2017/1/12 20:00,0.693191171,8.013124466
274,2017/1/12 21:00,0.72844094,8.333438873
275,2017/1/12 22:00,0.724618733,8.660667419
276,2017/1/12 23:00,0.730019748,8.872974396
277,2017/1/13 0:00,0.742490113,8.899168015
278,2017/1/13 1:00,0.683651507,8.794322014
279,2017/1/13 2:00,0.684363246,8.589212418
280,2017/1/13 3:00,0.667607963,8.305870056
281,2017/1/13 4:00,0.632842362,7.980318069
282,2017/1/13 5:00,0.615050375,7.731592178
283,2017/1/13 6:00,0.622658014,7.655532837
284,2017/1/13 7:00,0.576459587,7.773285866
285,2017/1/13 8:00,0.567296445,8.047584534
286,2017/1/13 9:00,0.640779078,8.369800568
287,2017/1/13 10:00,0.617356181,8.760221481
288,2017/1/13 11:00,0.630922616,9.078951836
289,2017/1/13 12:00,0.649594426,9.197278976
