"","x"
"711",32.14496231
"712",33.12365341
"713",34.96199417
"714",37.03097153
"715",38.18708801
"716",40.55438614
"717",44.63355637
"718",53.19528198
"719",61.2093544
"720",63.67188263
"721",67.04245758
"722",68.46469116
"723",80.57348633
"724",93.35839844
"725",103.9595642
"726",114.9954987
"727",119.7525482
"728",118.7280273
"729",116.5634232
"730",118.8796616
"731",119.1760788
"732",120.7546463
"733",122.0386505
"734",120.9713135
"735",119.5711212
"736",115.1773605
"737",112.5513306
"738",109.4178696
"739",107.3217468
"740",107.536171
"741",106.8028107
"742",107.5584564
"743",112.7431641
"744",113.6357193
"745",111.7715073
"746",110.1096268
"747",103.4409485
"748",99.91697693
"749",100.2292557
"750",97.68989563
"751",96.89738464
"752",97.21990204
"753",104.2884293
"754",106.5215912
"755",106.3776779
"756",107.3220215
"757",107.7904663
"758",106.0249405
"759",102.1826401
"760",101.1407547
"761",100.8531113
"762",99.35993195
"763",99.42373657
"764",97.8640976
"765",96.62291718
"766",96.77199554
"767",96.16917419
"768",94.24954987
"769",94.80711365
"770",92.21765137
"771",79.03193665
"772",71.46669006
"773",67.61101532
"774",65.24786377
"775",61.08864594
"776",62.76531219
"777",64.32208252
"778",63.84994888
"779",67.68871307
"780",70.3805542
"781",72.85945129
"782",73.51807404
"783",76.76367188
"784",72.57139587
"785",41.49980545
"786",38.14980698
"787",37.67721558
"788",37.59677124
"789",38.83904266
"790",42.60537338
"791",43.63006973
"792",44.37652206
"793",48.39591599
"794",45.77807236
"795",46.20516205
"796",46.22623062
"797",49.30838394
"798",46.86750412
"799",49.88488007
"800",50.90726471
"801",52.68257141
"802",54.30420685
"803",56.14656448
"804",55.60792542
"805",55.25657272
"806",54.08358765
"807",55.47264099
"808",48.13349152
"809",38.45082474
"810",30.21860695
"811",29.91174126
"812",30.97906113
"813",31.8185997
"814",34.63437653
"815",37.33016205
"816",36.78755569
"817",35.89413834
"818",38.70764923
"819",38.49859619
"820",39.17123795
"821",42.0150032
"822",43.12760544
"823",46.21311951
"824",48.55948639
"825",49.29676437
"826",53.28691483
"827",53.55335236
"828",57.26913071
"829",61.24536514
"830",60.70362854
"831",62.9007225
"832",63.97014618
"833",68.31307983
"834",70.03406525
"835",72.1878891
"836",72.50288391
"837",72.97446442
"838",74.72845459
"839",76.38977814
"840",77.71021271
"841",78.0853653
"842",83.14138031
"843",88.93823242
"844",93.61319733
"845",95.85884857
"846",95.23581696
"847",97.70915222
"848",99.64349365
"849",98.2212677
"850",97.77840424
"851",98.65898895
"852",100.2890015
"853",101.7261887
"854",101.5854111
"855",99.90171051
"856",99.73802948
"857",103.8269119
"858",100.7229462
"859",101.2390289
"860",102.8223495
"861",98.28018951
"862",97.07422638
"863",96.53883362
"864",96.26874542
"865",96.89167023
"866",99.16590881
"867",100.5990219
"868",98.65327454
"869",100.1267853
"870",102.6635742
"871",101.3178787
"872",99.34101105
"873",100.1479187
"874",93.75641632
"875",93.1537323
"876",91.31998444
"877",92.77014923
"878",93.85205841
"879",95.51114655
"880",99.66031647
"881",100.5539322
"882",98.49991608
"883",97.39707184
"884",99.11418152
"885",101.0861206
"886",101.0472717
"887",98.6804657
"888",93.34317017
"889",92.0893631
"890",96.07038879
"891",98.22659302
"892",103.5120926
"893",104.3426056
"894",103.9495468
"895",108.8442764
"896",110.085556
"897",110.9159775
"898",111.1690903
"899",110.5055008
"900",105.6813049
"901",104.489418
"902",106.3482132
"903",106.7154007
"904",108.4635773
"905",106.5994492
"906",105.6104813
"907",109.2197266
"908",107.3401871
"909",108.0209122
"910",112.1223373
"911",106.8675537
"912",106.3013
"913",102.2949829
"914",102.0837021
"915",101.7354584
"916",103.8068848
"917",105.3641663
"918",104.8387451
"919",105.6730042
"920",105.6585388
"921",109.5329971
"922",108.2145157
"923",106.2680359
"924",102.2562103
"925",98.04956818
"926",96.34515381
"927",98.0968399
"928",101.1787033
"929",101.143074
"930",103.8278732
"931",105.12957
"932",103.1424866
"933",104.0445328
"934",107.68647
"935",108.273262
"936",55.905484426
"937",3.537706852
"938",18.21875191
"939",22.64080429
"940",26.12753487
"941",29.37059975
"942",30.40854263
"943",29.35295677
"944",29.79726791
"945",33.00884247
"946",34.36646652
"947",34.20675659
"948",34.34122086
"949",32.85364151
"950",32.52773285
"951",32.10170746
"952",36.48937225
"953",37.22750854
"954",38.58473587
"955",41.04250717
"956",40.10439682
"957",39.52241516
"958",37.77530289
"959",39.65089035
"960",44.54428482
"961",46.38204193
"962",45.41276932
"963",47.1172905
"964",48.26306534
"965",47.62869644
"966",51.6754837
"967",52.96833038
"968",54.42840958
"969",57.72519302
"970",59.41942215
"971",65.98160553
"972",71.83384705
"973",79.71336365
"974",82.12556458
