0.11746,0.096881,0.097105,0.098444,0.11442,0.095781,0.11475,0.11618,0.11697,0.18527,0.096383,0.12262,0.1013,0.10435,0.12476,0.12531,NaN,0.12633,NaN,0.12133,NaN,NaN,0.11667,-249.67
0.11643,0.096121,0.094598,0.18372,0.1134,0.094927,0.11261,0.1151,0.11469,0.11601,0.093989,0.11886,0.10047,0.10239,0.10077,0.10497,-249.66,0.12445,NaN,0.18983,NaN,NaN,NaN,NaN
0.11782,0.096123,0.095568,NaN,0.094528,0.095344,0.11237,0.095497,0.11505,0.15729,0.095676,0.18228,NaN,0.10188,0.1637,0.1046,-249.67,0.12449,0.12736,0.12078,0.124,0.10234,NaN,-249.6
0.11593,0.095528,0.094119,NaN,0.091894,0.093046,0.18584,0.1139,0.11289,0.11415,0.094418,0.11796,0.14712,0.19416,0.10129,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-249.6
0.11572,0.095777,0.09403,NaN,0.091819,0.092051,0.092206,0.094743,0.11389,NaN,0.095996,0.18948,NaN,0.13111,0.12074,0.11909,NaN,NaN,NaN,NaN,NaN,NaN,0.10413,-249.67
0.11517,0.095598,0.092945,0.11092,0.090409,0.089469,0.091533,0.093159,0.11364,0.11379,0.099048,0.11669,-249.68,0.098971,0.10367,0.11893,0.12112,NaN,NaN,NaN,0.11812,NaN,NaN,NaN
0.11406,0.094288,0.091325,-249.67,0.091006,0.088705,0.090328,0.12091,0.11605,0.1131,0.094645,0.11445,0.11706,0.098906,0.11759,0.10521,NaN,NaN,NaN,NaN,0.11533,NaN,NaN,NaN
0.15079,0.092205,0.13259,-249.68,NaN,0.087578,0.15742,0.090012,0.10796,0.11082,0.13116,0.11223,0.14009,0.097688,0.12881,0.11708,0.13475,NaN,NaN,0.11585,0.11418,0.12157,0.097087,-249.67
0.11233,0.091597,0.091426,-249.68,0.089987,0.088446,0.12681,0.1508,0.093577,0.10699,0.091003,0.11375,NaN,0.095099,0.11536,-249.67,0.11658,NaN,NaN,NaN,0.092089,NaN,NaN,-249.67
0.12162,0.091649,0.09154,0.10723,0.090449,0.12785,0.088105,0.09008,0.15229,0.091382,0.14305,0.11526,NaN,0.095666,0.11612,0.15618,0.15934,NaN,NaN,0.11907,-249.67,NaN,NaN,0.093789
